1;Floortje;Heere;1995-02-19;Anders;floortje.heere@student.kw1c.nl;Verpleegkunde;2018;2025;Gestopt; € -   
2;Lara;Schellekens;1998-11-16;Man;lara.schellekens@student.kw1c.nl;Logistiek;2019;2025;Gestopt; € -   
3;Kian;Jansdr;2007-03-29;Anders;kian.jansdr@student.kw1c.nl;Toerisme;2018;2025;Actief; € 112,48 
4;Emir;van der Spaendonc;1996-03-10;Man;emir.vanderspaendonc@student.kw1c.nl;ICT;2018;2025;Actief; € 159,08 
5;Ella;van Brenen;1995-04-02;Anders;ella.vanbrenen@student.kw1c.nl;Autotechniek;2018;2025;Actief; € 953,53 
6;Bas;Gellemeyer;1998-06-06;Anders;bas.gellemeyer@student.kw1c.nl;Toerisme;2021;2025;Actief; € 439,69 
7;Lars;van de Elzas;2004-12-13;Anders;lars.vandeelzas@student.kw1c.nl;Bouwkunde;2024;2025;Afgestudeerd; € -   
8;Ayoub;Manne;2006-11-22;Man;ayoub.manne@student.kw1c.nl;Maatschappelijke Zorg;2020;2025;Actief; € 745,41 
9;Hanna;van der Spaendonc;2001-11-05;Man;hanna.vanderspaendonc@student.kw1c.nl;Onderwijsassistent;2018;2025;Actief; € 432,94 
10;Keano;van Haeften;2004-09-25;Man;keano.vanhaeften@student.kw1c.nl;Onderwijsassistent;2024;2025;Actief; € 569,61 
11;Mathijs;Amalrada;2007-08-15;Vrouw;mathijs.amalrada@student.kw1c.nl;ICT;2023;2025;Actief; € 761,28 
12;Maartje;Klomp Jan;2006-08-03;Man;maartje.klompjan@student.kw1c.nl;Maatschappelijke Zorg;2018;2025;Actief; € 575,64 
13;Sven;Voortman;1999-06-09;Anders;sven.voortman@student.kw1c.nl;Autotechniek;2024;2025;Actief; € 856,12 
14;Jari;Moenen;2007-09-13;Man;jari.moenen@student.kw1c.nl;Verpleegkunde;2018;2025;Actief; € 158,10 
15;Nout;Goyaerts van Waderle;1996-04-15;Vrouw;nout.goyaertsvanwaderle@student.kw1c.nl;Verpleegkunde;2024;2025;Actief; € 961,80 
16;Ruben;Gerritsen;2000-10-25;Man;ruben.gerritsen@student.kw1c.nl;Maatschappelijke Zorg;2020;2025;Actief; € 173,35 
17;Mirthe;Waltrade Walderade;2004-12-24;Vrouw;mirthe.waltradewalderade@student.kw1c.nl;Economie;2020;2025;Actief; € 84,72 
18;Maarten;Broekhoven;2007-02-15;Anders;maarten.broekhoven@student.kw1c.nl;Bouwkunde;2023;2025;Afgestudeerd; € -   
19;Tyler;van der Linden;1996-10-31;Anders;tyler.vanderlinden@student.kw1c.nl;Verpleegkunde;2022;2025;Actief; € 875,30 
